"ID","LON","LAT","Elevation_m","Date","ppt_mm","tmean_degC","pltID"
104,-119.2234,37.0824,1994,"Annual",1015.4,9.3,"5_6_19_72118"
105,-119.042,37.0475,2403,"Annual",1389.51,6.8,"5_6_19_96929"
106,-119.5409,37.3704,1594,"Annual",1081.8,11.8,"5_6_39_57309"
107,-119.0984,37.6889,2969,"Annual",889.68,3.5,"5_6_39_91930"
108,-119.8957,38.4926,2653,"Annual",1817.52,4.2,"5_6_3_62317"
109,-119.7665,38.6404,2142,"Annual",898.35,6.8,"5_6_3_69589"
110,-119.6475,38.688,2259,"Annual",664.26,6.3,"5_6_3_82766"
111,-119.7006,38.5897,2348,"Annual",827.71,5.8,"5_6_3_89745"
112,-119.6716,37.4954,1624,"Annual",1053.41,11.5,"5_6_43_93434"
113,-120.2404,38.4805,1490,"Annual",1285.38,11.9,"5_6_9_54216"
114,-122.5584,41.1539,1752,"Annual",1540.33,7.9,"2_6_105_61334"
115,-122.813,40.7983,884,"Annual",1099.14,11.6,"2_6_105_78587"
116,-122.6872,41.0915,1276,"Annual",1389.5,11.3,"2_6_105_97440"
117,-121.251,41.1112,1543,"Annual",554.91,9.2,"2_6_35_64409"
118,-121.2212,40.7674,1847,"Annual",740.61,7.4,"2_6_35_78858"
119,-121.0084,40.4434,1730,"Annual",811,6.6,"2_6_35_94048"
120,-120.976,41.2727,1637,"Annual",511.14,8.8,"2_6_49_67806"
121,-121.3921,40.8899,1285,"Annual",543.1,10.5,"2_6_89_60453"
122,-121.6603,40.524,1400,"Annual",1171.86,10.6,"2_6_89_64273"
123,-121.716,40.9999,987,"Annual",947.24,11.5,"2_6_89_68109"
124,-121.3729,40.5592,1982,"Annual",1331.7,7,"2_6_89_81343"
125,-122.2879,41.0911,967,"Annual",1829.37,12.8,"2_6_89_85151"
126,-121.9367,41.3787,1331,"Annual",1310.61,9.3,"2_6_93_52095"
127,-122.4207,41.2946,1505,"Annual",1496.25,9.3,"2_6_93_53473"
128,-122.0894,41.2973,1158,"Annual",1434.15,10,"2_6_93_61642"
129,-121.7652,41.3467,1398,"Annual",925.15,9.5,"2_6_93_69453"
130,-121.6361,41.5642,2106,"Annual",1340.39,4.3,"2_6_93_74242"
131,-121.7472,41.1929,1347,"Annual",951.75,10,"2_6_93_82828"
132,-121.7925,41.5004,1708,"Annual",1103.28,7.8,"2_6_93_91215"
133,-121.5055,41.5297,1868,"Annual",1081.18,6.4,"2_6_93_95170"
134,-121.4654,40.2528,1445,"Annual",1386.9,9.5,"3_6_103_57968"
135,-121.065,39.4915,968,"Annual",1707.91,13.3,"3_6_115_51465"
136,-120.6958,38.8553,988,"Annual",1273.44,14.5,"3_6_17_61501"
137,-120.3705,38.6927,1689,"Annual",1571.39,10.6,"3_6_17_73744"
138,-120.523,38.8322,1198,"Annual",1327.9,13.2,"3_6_17_77991"
139,-120.4968,38.6614,1313,"Annual",1341.46,12.8,"3_6_17_84159"
140,-120.3822,38.5532,1566,"Annual",1334.25,11.7,"3_6_17_97782"
141,-120.8819,39.1296,681,"Annual",1262.2,14.9,"3_6_61_63946"
142,-121.1476,40.1547,1499,"Annual",993.7,9.6,"3_6_63_56274"
143,-120.9355,39.7819,1754,"Annual",2209.15,9.3,"3_6_63_61281"
144,-120.8245,39.9891,1819,"Annual",1230.15,8.5,"3_6_63_62514"
145,-120.598,40.2432,1914,"Annual",680.59,8,"3_6_63_68365"
146,-120.6703,40.1236,1717,"Annual",690.86,8.5,"3_6_63_72624"
147,-121.2812,39.9061,1017,"Annual",1804.9,12.9,"3_6_63_90837"
148,-121.3282,40.3988,1724,"Annual",1282.57,7.2,"3_6_63_95551"
149,-121.4076,39.7611,960,"Annual",1783.77,13.8,"3_6_7_97350"
150,-121.5804,40.054,1346,"Annual",1591.9,11.6,"3_6_7_99822"
151,-120.777,39.5002,1657,"Annual",1738.71,10.5,"3_6_91_91513"
152,-120.4394,39.6934,1568,"Annual",627.79,8.5,"3_6_91_98691"
153,-118.4041,36.5438,3037,"Annual",574.2,2.9,"5_6_107_73557"
154,-118.6318,36.7043,2551,"Annual",871.61,5.3,"5_6_107_91538"
155,-118.6908,36.7049,2651,"Annual",1377.43,4.9,"5_6_107_94775"
156,-118.3437,36.059,2591,"Annual",809.43,5.7,"5_6_107_96399"
157,-120.0243,38.4115,2034,"Annual",1328.61,7.6,"5_6_109_73820"
158,-120.1397,38.2014,1432,"Annual",1121.33,12,"5_6_109_74692"
159,-119.7385,37.9679,1505,"Annual",1008.58,11.4,"5_6_109_87824"
160,-120.0164,38.2565,1699,"Annual",1115.65,10.6,"5_6_109_97983"
161,-118.8536,36.7943,1935,"Annual",1003.25,9.5,"5_6_19_62985"
162,-119.3312,37.1638,1375,"Annual",884.54,13.3,"5_6_19_77546"
163,-119.2137,37.41,2029,"Annual",1071.69,9.2,"5_6_19_92835"
164,-118.5522,35.7083,1755,"Annual",734.79,11.2,"5_6_29_65496"
165,-119.1932,37.5934,2366,"Annual",863.43,7.4,"5_6_39_91052"
166,-119.8947,38.5545,2394,"Annual",1610.19,5.2,"5_6_3_65481"
167,-119.6571,37.4598,1590,"Annual",1181.27,11.9,"5_6_43_54585"
168,-119.6827,37.6282,1941,"Annual",1135.29,10.1,"5_6_43_78845"
169,-120.4741,38.51,1299,"Annual",1300.06,13.1,"5_6_5_78549"
170,-120.3395,38.3873,1546,"Annual",1282.76,11.6,"5_6_9_67709"
171,-122.6248,40.8987,1168,"Annual",1298,12,"2_6_105_76437"
172,-122.5559,41.3615,1972,"Annual",1850,7.1,"2_6_105_94754"
173,-122.6717,40.9416,803,"Annual",1253.2,12.6,"2_6_105_96639"
174,-120.8206,40.3396,1798,"Annual",840.87,7.7,"2_6_35_63948"
175,-120.9976,40.5404,1781,"Annual",621.52,6.3,"2_6_35_73299"
176,-121.0775,41.0271,1317,"Annual",437.87,9.2,"2_6_35_96414"
177,-121.4286,41.4889,1347,"Annual",602.6,8.8,"2_6_49_53662"
178,-120.2313,41.9027,2106,"Annual",906.51,5,"2_6_49_65134"
179,-120.3219,41.5372,1779,"Annual",564.85,7.2,"2_6_49_77038"
180,-120.9966,41.3208,1533,"Annual",496.32,8.9,"2_6_49_97560"
181,-122.0319,40.9537,776,"Annual",1987.89,13.8,"2_6_89_52614"
182,-121.6969,41.1528,1369,"Annual",879.09,10.1,"2_6_89_58146"
183,-122.1574,40.8966,715,"Annual",1731.38,14.5,"2_6_89_68386"
184,-121.4995,40.6347,1545,"Annual",895.64,8.6,"2_6_89_68434"
185,-121.8429,40.9546,967,"Annual",1413.71,12.4,"2_6_89_91300"
186,-121.3817,40.8374,1397,"Annual",568.71,10.2,"2_6_89_93267"
187,-121.6459,40.6435,1835,"Annual",1538.12,8,"2_6_89_97816"
188,-122.3504,41.2455,1255,"Annual",1588.56,10.7,"2_6_93_95092"
189,-120.7165,38.8874,988,"Annual",1273.44,14.5,"3_6_17_85490"
190,-120.3578,38.903,1725,"Annual",1559.67,9.6,"3_6_17_95791"
191,-120.8329,38.9353,796,"Annual",1259.26,15.2,"3_6_17_98576"
192,-120.7232,39.4076,1783,"Annual",1779.37,9.6,"3_6_57_87496"
193,-120.5468,39.0979,1616,"Annual",1632.3,10.3,"3_6_61_66914"
194,-120.8332,39.1027,881,"Annual",1365.05,14.4,"3_6_61_82889"
195,-121.4183,40.0082,1902,"Annual",2043.51,8.5,"3_6_63_50463"
196,-120.8254,39.8641,1360,"Annual",1236.18,9.7,"3_6_63_52651"
197,-120.9349,39.8916,1735,"Annual",1494.28,9.1,"3_6_63_52679"
198,-121.1371,40.1477,1616,"Annual",1039.12,9.2,"3_6_63_53093"
199,-120.9564,40.0457,1193,"Annual",980.39,10.9,"3_6_63_57519"
200,-120.4998,40.2166,1867,"Annual",630.41,8.3,"3_6_63_64120"
201,-120.3197,39.9451,1883,"Annual",670.45,7.1,"3_6_63_67826"
202,-120.6411,40.0822,1722,"Annual",632.38,8.5,"3_6_63_70055"
203,-121.2745,40.1972,1530,"Annual",995.94,8.9,"3_6_63_71881"
204,-121.0887,40.0001,1235,"Annual",1015.59,11,"3_6_63_86700"
205,-121.2817,40.3581,1609,"Annual",1118.61,7.8,"3_6_63_99218"
206,-121.2296,39.7061,892,"Annual",1811.71,13.9,"3_6_7_77257"
207,-120.1433,39.5892,2245,"Annual",861.2,6.4,"3_6_91_57875"
208,-121.0324,39.51,946,"Annual",1662.71,13.3,"3_6_91_58667"
209,-120.8797,39.579,1315,"Annual",1838.96,11.6,"3_6_91_69982"
210,-120.5977,39.596,1894,"Annual",1828.25,7.9,"3_6_91_78931"
211,-120.409,39.5723,1681,"Annual",744.49,8,"3_6_91_90805"
212,-118.1706,36.3098,2670,"Annual",446.54,4.8,"5_6_107_62226"
213,-118.6379,36.0981,1811,"Annual",895.82,10.3,"5_6_107_75966"
214,-118.4666,36.1188,1671,"Annual",788.69,11.9,"5_6_107_84972"
215,-118.3124,35.9439,2333,"Annual",632.32,7.6,"5_6_107_92408"
216,-118.7832,36.6027,1800,"Annual",964.28,9.7,"5_6_107_96742"
217,-118.475,36.4597,2732,"Annual",600.51,4.4,"5_6_107_99288"
218,-119.953,38.1285,2033,"Annual",1379.94,8.2,"5_6_109_59609"
219,-119.6572,37.9947,2345,"Annual",1547.22,6.9,"5_6_109_61342"
220,-119.1554,37.089,1968,"Annual",1039.59,8.9,"5_6_19_63135"
221,-118.9809,37.386,2345,"Annual",790.12,6.1,"5_6_19_89633"
222,-119.2943,37.1879,1384,"Annual",845.63,12.7,"5_6_19_93206"
223,-119.1567,37.4033,2003,"Annual",1100.51,8.9,"5_6_19_93554"
224,-118.5899,35.7744,2151,"Annual",997.56,8.6,"5_6_29_85109"
225,-119.6934,38.4593,2701,"Annual",1418.09,4,"5_6_3_76892"
226,-119.6091,37.5205,1628,"Annual",1076.76,11,"5_6_43_82595"
227,-119.0178,37.7102,2410,"Annual",562.14,5.7,"5_6_51_90179"
228,-120.2903,38.2797,1472,"Annual",1372.94,11.7,"5_6_9_64046"
229,-120.3175,38.4567,1232,"Annual",1121.34,13,"5_6_9_64364"
230,-122.9436,40.9127,1323,"Annual",1846.13,10.8,"2_6_105_51218"
231,-122.9374,41.0791,1810,"Annual",1748.67,7.5,"2_6_105_63314"
232,-122.8165,40.9963,1718,"Annual",2147.22,8.6,"2_6_105_64952"
233,-122.4895,41.1643,1855,"Annual",1750.71,7.4,"2_6_105_67471"
234,-122.6039,40.9677,1264,"Annual",1443.77,12.1,"2_6_105_84136"
235,-122.6976,41.1854,1369,"Annual",1545.84,10.7,"2_6_105_93031"
236,-120.4424,40.1716,1853,"Annual",567.74,8.2,"2_6_35_64772"
237,-120.6301,40.2873,2083,"Annual",707.41,7.1,"2_6_35_70284"
238,-120.3164,41.8002,1830,"Annual",593.19,6.8,"2_6_49_55447"
239,-121.0698,41.393,1372,"Annual",476.77,9.1,"2_6_49_91897"
240,-122.4866,41.0054,1063,"Annual",1798.84,13.1,"2_6_89_63272"
241,-121.6381,40.8615,1022,"Annual",652.61,10.6,"2_6_89_74652"
242,-121.6509,40.6936,1610,"Annual",1271.18,8.9,"2_6_89_78171"
243,-121.7669,40.574,1342,"Annual",1244.26,11.1,"2_6_89_80913"
244,-122.3296,41.1177,841,"Annual",1563,12.9,"2_6_89_84177"
245,-122.4862,41.0449,1465,"Annual",1681.64,10.7,"2_6_89_89779"
246,-122.0264,41.1454,1153,"Annual",1776.94,11.4,"2_6_89_94753"
247,-122.166,41.1954,1018,"Annual",1432.26,11.2,"2_6_93_61164"
248,-121.4418,40.3104,1612,"Annual",1396.15,8.8,"3_6_103_51328"
249,-121.1377,39.4438,704,"Annual",1366.35,14.5,"3_6_115_98323"
250,-120.4868,38.8473,1392,"Annual",1393.72,12.3,"3_6_17_50288"
251,-120.6057,38.538,886,"Annual",1110.34,14.2,"3_6_17_69773"
252,-120.7919,38.9541,819,"Annual",1280.56,15.2,"3_6_17_73495"
253,-120.6592,39.3489,1510,"Annual",1822.74,10.6,"3_6_57_57153"
254,-120.8091,39.2998,1358,"Annual",1748.92,11.9,"3_6_57_59992"
255,-120.5315,39.2963,1920,"Annual",2114.1,8.3,"3_6_61_52287"
256,-120.9644,38.9919,494,"Annual",1028.32,15.5,"3_6_61_87710"
257,-120.6663,39.003,992,"Annual",1323.69,14,"3_6_61_92676"
258,-121.2428,40.0811,1331,"Annual",1016.89,11.2,"3_6_63_60183"
259,-121.0426,39.6474,1443,"Annual",2160.63,11,"3_6_63_67253"
260,-121.054,39.9725,1199,"Annual",1077.14,10.9,"3_6_63_76784"
261,-121.0852,40.3014,1493,"Annual",985.19,8.3,"3_6_63_79837"
262,-121.027,39.8043,1286,"Annual",1863.63,11.1,"3_6_63_83149"
263,-121.2059,39.7543,1094,"Annual",1981.76,12.8,"3_6_63_84270"
264,-120.9332,40.0956,1197,"Annual",995.58,10.4,"3_6_63_84416"
265,-120.7683,40.1384,1720,"Annual",774.01,8.7,"3_6_63_98595"
266,-120.8983,39.7984,1754,"Annual",2209.15,9.3,"3_6_63_99431"
267,-121.35,39.7972,1279,"Annual",2193.99,11.9,"3_6_7_95807"
268,-120.5745,39.6469,2201,"Annual",1806.93,6.5,"3_6_91_66378"
269,-120.7143,39.6466,1987,"Annual",1968.8,8,"3_6_91_68914"
270,-120.2043,39.5008,2047,"Annual",825.36,6.3,"3_6_91_99550"
271,-118.9076,36.6973,1921,"Annual",1014.96,8.8,"5_6_107_97549"
272,-120.0648,38.0507,1614,"Annual",1144.22,11.4,"5_6_109_64293"
273,-119.9289,38.1128,2196,"Annual",1618.66,7.3,"5_6_109_77218"
274,-119.6064,37.9675,2454,"Annual",1529.7,6.5,"5_6_109_87610"
275,-118.9789,37.3444,2575,"Annual",773.78,5.2,"5_6_19_63979"
276,-119.1084,37.4358,2022,"Annual",1040.74,8.5,"5_6_19_64321"
277,-119.0894,36.9418,1943,"Annual",1054.94,10.6,"5_6_19_68056"
278,-119.1024,37.1386,2714,"Annual",1261.84,4.7,"5_6_19_69038"
279,-118.7894,36.9851,2805,"Annual",1138.94,4.8,"5_6_19_90478"
280,-119.414,37.4208,1813,"Annual",1191.97,9.9,"5_6_39_51106"
281,-119.419,37.2798,1957,"Annual",1188.87,10.1,"5_6_39_67260"
282,-119.5813,37.4581,1926,"Annual",1186.95,9.8,"5_6_39_79129"
283,-119.1227,37.6298,2763,"Annual",979.43,5.2,"5_6_39_88388"
284,-119.844,38.5593,2536,"Annual",1477.29,4.5,"5_6_3_75212"
285,-119.433,37.7741,2786,"Annual",1257.93,3.5,"5_6_43_53915"
286,-119.7553,37.7365,1951,"Annual",1221.99,10.2,"5_6_43_56491"
287,-119.6138,37.7963,2308,"Annual",1462.16,7.4,"5_6_43_58153"
288,-119.5198,37.7509,2291,"Annual",1315.12,7.3,"5_6_43_74275"
289,-119.6232,37.6274,2152,"Annual",1199.94,8.6,"5_6_43_94933"
290,-120.455,38.4879,1299,"Annual",1300.06,13.1,"5_6_5_72936"
291,-122.689,41.052,886,"Annual",1438.66,12.5,"2_6_105_52478"
292,-122.7175,40.8391,1009,"Annual",1006.14,11.6,"2_6_105_76091"
293,-122.8897,40.896,2092,"Annual",3015.69,6.5,"2_6_105_91958"
294,-120.9632,40.7216,1731,"Annual",491.92,6.6,"2_6_35_58810"
295,-120.8909,40.2178,1646,"Annual",1003.25,8.8,"2_6_35_60362"
296,-120.8272,40.8344,1862,"Annual",420.05,7,"2_6_35_63393"
297,-120.7533,40.3341,1758,"Annual",674.14,8.2,"2_6_35_66685"
298,-121.7018,40.4554,1280,"Annual",1181.9,11.6,"2_6_89_51097"
299,-121.6618,41.1408,1354,"Annual",873.49,10.5,"2_6_89_55387"
300,-122.4238,41.0515,892,"Annual",1865.11,13.5,"2_6_89_61825"
301,-122.1285,41.0711,897,"Annual",1640.06,12.6,"2_6_89_64402"
302,-121.9717,41.1112,1236,"Annual",1844.17,10.8,"2_6_89_72576"
303,-121.8023,40.8936,1421,"Annual",1731.18,10.5,"2_6_89_74440"
304,-121.7844,40.752,1807,"Annual",1513.31,8.2,"2_6_89_80049"
305,-121.7488,40.6164,1391,"Annual",1261.09,10.7,"2_6_89_88898"
306,-121.8353,41.423,1540,"Annual",979.25,9,"2_6_93_58201"
307,-121.6889,41.4786,1486,"Annual",891.71,9.1,"2_6_93_63920"
308,-122.2923,41.2421,1048,"Annual",1405.73,11.3,"2_6_93_77579"
309,-121.5236,40.3462,1665,"Annual",1458.62,8.8,"3_6_103_75319"
310,-121.4073,40.3006,1532,"Annual",1195.56,8.6,"3_6_103_94950"
311,-121.1082,39.4034,628,"Annual",1268.96,14.9,"3_6_115_63759"
312,-120.4205,38.554,1440,"Annual",1303.65,12.2,"3_6_17_55516"
313,-120.3021,38.9067,2026,"Annual",1728.07,7.6,"3_6_17_57993"
314,-120.8874,38.8956,623,"Annual",1063.21,15.5,"3_6_17_61249"
315,-120.2964,38.754,1614,"Annual",1555.94,10.6,"3_6_17_72729"
316,-120.4302,38.6066,1558,"Annual",1416.83,11,"3_6_17_85417"
317,-120.7413,38.9133,960,"Annual",1334.81,14.7,"3_6_17_96427"
318,-120.7662,39.2691,1360,"Annual",1696.24,12,"3_6_57_53985"
319,-120.7917,39.1067,1117,"Annual",1484.17,13.6,"3_6_61_50404"
320,-120.6301,39.2247,1288,"Annual",1674.35,11.9,"3_6_61_51204"
321,-120.3451,39.2464,1967,"Annual",1937.75,7.1,"3_6_61_58715"
322,-120.4667,39.1075,1808,"Annual",1640.18,8.9,"3_6_61_66414"
323,-120.2958,39.0932,2167,"Annual",1853.49,6.7,"3_6_61_95963"
324,-120.5699,39.9377,1946,"Annual",922.49,7.1,"3_6_63_53845"
325,-121.0268,39.994,1308,"Annual",1019.15,11,"3_6_63_65133"
326,-120.8315,39.9034,1285,"Annual",1121.14,9.9,"3_6_63_84449"
327,-121.15,40.1945,1405,"Annual",935.92,9.1,"3_6_63_94114"
328,-120.5547,40.0025,1794,"Annual",655,7.2,"3_6_63_95034"
329,-120.3811,39.8877,1797,"Annual",571.64,7.5,"3_6_63_95797"
330,-121.4732,39.8589,1230,"Annual",1930.63,12.2,"3_6_7_58831"
331,-121.1326,39.5724,1099,"Annual",2105.65,12.7,"3_6_7_79676"
332,-120.9754,39.5402,1216,"Annual",1764.63,12.2,"3_6_91_60422"
333,-120.6837,39.5503,1826,"Annual",1761.71,8.9,"3_6_91_64136"
334,-120.4908,39.4524,2069,"Annual",2098.19,6.1,"3_6_91_78136"
335,-120.8411,39.6005,1233,"Annual",1747.29,11.3,"3_6_91_96403"
336,-118.5613,36.0811,2226,"Annual",1206.11,7.8,"5_6_107_61295"
337,-118.7254,36.6089,2728,"Annual",1953.53,4.8,"5_6_107_84235"
338,-118.5856,35.9739,1812,"Annual",862.96,10.4,"5_6_107_90793"
339,-119.7409,37.8612,2019,"Annual",1313.14,9.2,"5_6_109_51824"
340,-119.7483,38.0117,2041,"Annual",1372.1,8.7,"5_6_109_53207"
341,-120.2589,38.2589,1460,"Annual",1270.27,12,"5_6_109_89998"
342,-119.8576,37.8076,1529,"Annual",1031.51,11.7,"5_6_109_92098"
343,-120.0591,38.1534,1649,"Annual",1127.26,10.7,"5_6_109_99065"
344,-119.2133,37.1562,2271,"Annual",1088.67,7.4,"5_6_19_86025"
345,-119.2247,37.1821,2271,"Annual",1088.67,7.4,"5_6_19_87920"
346,-118.2647,35.7643,2001,"Annual",757.95,10.1,"5_6_29_95529"
