"YEAR","pltID","PLT_CN","TPA","BAA","PROP_FOREST","SDI","ID","LON","LAT","Elevation_m","Date","ppt_mm","tmean_degC","Ownership","PSME_check","Include","NMDS1"
2019,"5_6_109_78426",558627547126144,2.997564,23.6014940726633,1,25.1118432073258,465,-119.8005,37.8157,1817,"Annual",1157.34,9.8,"Not private","Not_psme","Yes",1.22293240773348
2014,"2_6_93_61642",216959900020004,749.897802,321.957328703998,1,527.960336276082,128,-122.0894,41.2973,1158,"Annual",1434.15,10,"Not private","Not_psme","Yes",0.64588620911644
2016,"2_6_35_64772",345936730489998,801.315338,174.274496632399,1,313.995082285771,236,-120.4424,40.1716,1853,"Annual",567.74,8.2,"Not private","Not_psme","Yes",-0.164458523911499
2021,"5_6_109_73865",750083985290487,4.99594,24.0043808827166,1,28.2600728616534,548,-119.7474,37.8098,1923,"Annual",1241.83,9.3,"Not private","Not_psme","Yes",-0.627309187758631
2022,"3_6_17_66804",750084179290487,173.911076,201.725912526523,1,214.110680145014,561,-120.3501,38.9582,1884,"Annual",1567.3,8.4,"Not private","Not_psme","Yes",0.997977848024689
2019,"5_6_107_62149",558627525126144,61.133812,92.9219395249897,1,130.108611875905,460,-118.2211,36.117,2645,"Annual",577.36,5.1,"Not private","Not_psme","Yes",-0.402784248852627
2013,"2_6_93_86196",44542752020004,146.362726,262.344363235898,1,353.229704774219,70,-121.6389,41.4367,1351,"Annual",810.4,9.5,"Not private","Not_psme","Yes",1.10026849231495
2016,"3_6_63_99431",345933354489998,223.37222,207.904955408583,1,307.578629698672,266,-120.8983,39.7984,1754,"Annual",2209.15,9.3,"Not private","Not_psme","Yes",0.535204732766353
2013,"5_6_107_60974",44541603020004,240.538496,435.16067636614,1,563.694434439081,92,-118.5329,36.1537,2355,"Annual",1202.37,7.1,"Not private","Not_psme","Yes",0.00538230859548225
2013,"3_6_57_64922",44541497020004,106.280616,194.653732728286,1,260.708567223434,80,-120.6045,39.4293,2029,"Annual",1996.93,7.5,"Not private","Not_psme","Yes",-0.604241992111619
2020,"5_6_109_98431",645307464126144,66.15267,168.284914938034,1,201.943922065498,508,-119.8055,37.7726,1709,"Annual",1137.04,10.3,"Not private","Not_psme","Yes",-0.0639789922911706
2013,"5_6_107_68190",44542519020004,96.265818,93.2790740248044,1,138.661224338061,94,-118.2193,35.8109,1635,"Annual",384.47,13.1,"Not private","Not_psme","Yes",0.0160387356369368
2017,"3_6_61_66414",412221802489998,302.858692,16.2421116995563,1,25.7301615943466,322,-120.4667,39.1075,1808,"Annual",1640.18,8.9,"Not private","Not_psme","Yes",0.0821905460593684
2013,"5_6_109_54060",44540778020004,324.385144,233.837622931679,1,348.743810113691,99,-120.1564,37.8141,900,"Annual",960.03,13.7,"Not private","Not_psme","Yes",0.440350588495931
2018,"5_6_107_97204",484817193489998,82.208432,111.275401620464,1,149.286388450589,401,-118.5375,36.0626,2226,"Annual",1206.11,7.8,"Not private","Not_psme","Yes",0.183002376721154
2019,"3_6_17_73339",558626779126144,790.255516,211.099691822555,1,363.511393892042,441,-120.4183,38.955,1601,"Annual",1546.06,10.3,"Not private","Not_psme","Yes",0.476851927161544
2020,"2_6_105_62696",645308013126144,30.067312,32.029176422543,1,43.7531832645213,477,-122.5507,41.2115,1869,"Annual",1646.45,7.2,"Not private","Not_psme","Yes",0.802899138937168
2014,"3_6_63_95551",216959057020004,582.391702,246.650364401864,1,375.185102022985,148,-121.3282,40.3988,1724,"Annual",1282.57,7.2,"Not private","Not_psme","Yes",0.252360358273534
2015,"3_6_57_87496",273642570489998,249.691614,259.203950472763,1,382.86997140582,192,-120.7232,39.4076,1783,"Annual",1779.37,9.6,"Not private","Not_psme","Yes",-0.319357726890331
2017,"5_6_19_87920",412222783489998,51.073178,144.315331372365,1,176.880171918511,345,-119.2247,37.1821,2271,"Annual",1088.67,7.4,"Not private","Not_psme","Yes",-0.855630726641425
2021,"5_6_19_73952",750083846290487,188.28605,105.317025204277,1,158.990117811057,552,-119.262,37.079,1568,"Annual",932.32,11.6,"Not private","Not_psme","Yes",0.99499790534065
2021,"2_6_93_92550",750084536290487,108.18732,254.189475655049,1,324.672789554414,527,-122.4915,41.2487,1988,"Annual",1828.83,6.7,"Not private","Not_psme","Yes",0.695758717171032
2018,"2_6_93_92351",484816339489998,576.419492,102.912961568065,1,191.777635079067,371,-121.4463,41.2361,1208,"Annual",579.88,9.9,"Not private","Not_psme","Yes",0.261064598937804
2012,"5_6_107_68934",30763278020004,589.431854,252.124604574263,1,406.121026459424,46,-118.596,36.163,2274,"Annual",1109.59,7.8,"Not private","Not_psme","Yes",-0.504448224197802
2019,"3_6_17_86733",558626765126144,247.421486,211.974699548813,1,305.312037403507,442,-120.4907,38.5856,1258,"Annual",1319.57,12.9,"Not private","Not_psme","Yes",0.705660551988607
2020,"5_6_3_54594",645307573126144,129.08186,104.443696765055,1,141.973613574522,514,-119.8377,38.42,2376,"Annual",1701.07,5.7,"Not private","Not_psme","Yes",-0.753890708522782
2020,"3_6_63_55309",645307891126144,147.430668,134.985028350889,1,213.771266108692,493,-121.3334,40.4379,2093,"Annual",1453.65,6.4,"Not private","Not_psme","Yes",0.298568067069101
2012,"5_6_39_84285",30762274020004,542.784342,286.488085138901,1,440.101394321037,55,-119.3984,37.3057,1957,"Annual",1188.87,10.1,"Not private","Not_psme","Yes",0.0826214925474294
2017,"2_6_35_58810",412219844489998,133.3962,119.355896428824,1,191.041877913466,294,-120.9632,40.7216,1731,"Annual",491.92,6.6,"Not private","Not_psme","Yes",-0.632691680641523
2016,"5_6_43_94933",345933656489998,24.049266,63.8061593576843,1,76.1032511331165,289,-119.6232,37.6274,2152,"Annual",1199.94,8.6,"Not private","Not_psme","Yes",-0.177256318729005
2015,"2_6_35_96414",273642738489998,666.961934,146.450001416885,1,298.285036433466,176,-121.0775,41.0271,1317,"Annual",437.87,9.2,"Not private","Not_psme","Yes",0.633022297489251
2021,"5_6_109_70650",750084019290487,19.00749,79.9929656405899,1,93.4163105338653,547,-119.768,37.9759,1505,"Annual",1008.58,11.4,"Not private","Not_psme","Yes",0.410527574720978
2016,"5_6_39_79129",345935991489998,130.035212,184.987893941996,1,218.853855508865,282,-119.5813,37.4581,1926,"Annual",1186.95,9.8,"Not private","Not_psme","Yes",-0.728916958255286
2019,"3_6_61_93000",558626843126144,201.570164,215.818252894058,1,321.532030387675,445,-120.5626,39.0753,1592,"Annual",1627.79,10.9,"Not private","Not_psme","Yes",-0.495120643068825
2021,"3_6_91_98366",750084271290487,72.193634,85.4928322908844,1,127.416220664814,546,-120.7203,39.6,1695,"Annual",1738.41,9.6,"Not private","Not_psme","Yes",-0.26495974601334
2013,"3_6_17_97297",44540754020004,287.231844,366.485329569569,1,463.002026956619,79,-120.4288,38.758,1345,"Annual",1392.66,12.1,"Not private","Not_psme","Yes",0.592373892796713
2016,"2_6_105_67471",345934800489998,178.497168,259.581490523891,1,383.12498966726,233,-122.4895,41.1643,1855,"Annual",1750.71,7.4,"Not private","Not_psme","Yes",-0.831480645823688
2014,"2_6_35_94048",216961674020004,487.668576,177.528561994446,1,311.842986771805,119,-121.0084,40.4434,1730,"Annual",811,6.6,"Not private","Not_psme","Yes",-0.102571312198579
2013,"2_6_89_91772",44541919020004,526.456828,314.048209270495,1,467.903200449583,69,-121.7193,40.6629,1652,"Annual",1305.55,9,"Not private","Not_psme","Yes",-0.787695194072477
2018,"2_6_93_52619",484816289489998,8.992692,88.842890367391,1,88.0003782839033,366,-121.6658,41.5039,1641,"Annual",1020.98,8.1,"Not private","Not_psme","Yes",1.07588131504065
2017,"5_6_109_89998",412221115489998,218.192936,412.094169430067,1,507.00939866882,341,-120.2589,38.2589,1460,"Annual",1270.27,12,"Not private","Not_psme","Yes",0.0295331319774039
2019,"5_6_107_54465",558627533126144,201.298412,195.762074614031,1,265.04292176227,459,-118.4992,36.1049,2082,"Annual",1064.9,8.8,"Not private","Not_psme","Yes",0.370567033367889
2016,"2_6_105_64952",273642228489998,191.011862,107.8604127026,1,138.106570687487,232,-122.8165,40.9963,1718,"Annual",2147.22,8.6,"Not private","Not_psme","Yes",0.4006093943201
2014,"5_6_19_77546",216961045020004,563.384212,110.012428389218,1,218.965347763105,162,-119.3312,37.1638,1375,"Annual",884.54,13.3,"Not private","Not_psme","Yes",0.701604517773535
2020,"2_6_93_66757",645308040126144,34.064064,77.6802786574356,1,98.5043015652649,489,-121.5754,41.3449,1188,"Annual",791.46,9.7,"Not private","Not_psme","Yes",0.48929736573501
2015,"5_6_107_84972",273642701489998,102.260946,121.951642680348,1,161.139079738561,214,-118.4666,36.1188,1671,"Annual",788.69,11.9,"Not private","Not_psme","Yes",-0.100882058538047
2014,"3_6_63_61281",216960474020004,375.324078,146.245494042795,1,234.3680385044,143,-120.9355,39.7819,1754,"Annual",2209.15,9.3,"Not private","Not_psme","Yes",-0.355118745762457
2015,"3_6_63_64120",273641077489998,992.350118,169.389237927164,1,343.940472085241,200,-120.4998,40.2166,1867,"Annual",630.41,8.3,"Not private","Not_psme","Yes",-0.671027380041349
2022,"5_6_107_53570",750083668290487,20.029596,71.9461306136236,1,89.3822789657908,566,-118.4767,36.2629,2421,"Annual",1118.08,6.6,"Not private","Not_psme","Yes",-0.541014200897896
2018,"5_6_43_52879",484817049489998,85.183078,184.707614277348,1,243.301522443238,410,-119.6712,37.5703,1769,"Annual",1110.38,10.7,"Not private","Not_psme","Yes",0.500992392314542
2013,"5_6_43_93434",44543636020004,578.10028,217.638191842471,1,312.499897327939,112,-119.6716,37.4954,1624,"Annual",1053.41,11.5,"Not private","Not_psme","Yes",-0.557064925622324
2020,"5_6_9_77228",645307572126144,93.245336,198.23779822262,1,243.195857947173,516,-120.1253,38.4062,2048,"Annual",1665.32,8.6,"Not private","Not_psme","Yes",0.52523036770883
2020,"5_6_29_52361",645307007126144,192.554554,182.721144771401,1,282.910791307268,512,-118.5786,35.6645,1790,"Annual",793.8,10.9,"Not private","Not_psme","Yes",1.18869616864992
2015,"3_6_17_95791",273643240489998,93.99569,59.7107147857182,1,83.5024851342934,190,-120.3578,38.903,1725,"Annual",1559.67,9.6,"Not private","Not_psme","Yes",0.695619422343656
2017,"3_6_7_58831",412220907489998,718.85422,225.871747138634,1,401.543024710584,330,-121.4732,39.8589,1230,"Annual",1930.63,12.2,"Not private","Not_psme","Yes",-0.449946073105303
2015,"3_6_63_52679",273643142489998,326.429356,137.027135175565,1,218.416806708081,197,-120.9349,39.8916,1735,"Annual",1494.28,9.1,"Not private","Not_psme","Yes",-0.36829953271936
2013,"5_6_109_62518",44540800020004,483.400072,124.971593250034,1,216.556330648956,100,-119.8798,38.348,2207,"Annual",1594.67,7.2,"Not private","Not_psme","Yes",-0.33219686150282
2013,"3_6_57_99642",44543301020004,251.644154,259.699177164741,1,385.42746537056,81,-120.9357,39.3951,1081,"Annual",1576.3,13.1,"Not private","Not_psme","Yes",0.256424937791935
2016,"5_6_39_51106",345936013489998,148.38402,245.804492065012,1,312.340681398784,280,-119.414,37.4208,1813,"Annual",1191.97,9.9,"Not private","Not_psme","Yes",-0.0316838661146868
2021,"3_6_17_73786",645307667126144,303.582276,314.671604961055,1,432.734471864853,534,-120.3603,38.9893,1788,"Annual",1556.15,9,"Not private","Not_psme","Yes",0.628235588800642
2014,"3_6_91_91513",216960584020004,361.017858,103.973696649949,1,157.99422888838,151,-120.777,39.5002,1657,"Annual",1738.71,10.5,"Not private","Not_psme","Yes",-0.566777226978933
2012,"5_6_3_67431",30764492020004,455.239464,296.685294267205,1,384.421638207344,56,-119.7983,38.4265,2194,"Annual",1567.32,6.4,"Not private","Not_psme","Yes",-0.606119254972908
2013,"5_6_107_90023",44543388020004,72.170716,162.461919216351,1,215.604281258965,97,-118.3961,35.9186,2268,"Annual",825.53,8.2,"Not private","Not_psme","Yes",-0.464165902147341
